date,target_pm25,neighbor_avg_pm25,temperature,humidity,wind_speed
2023-10-19,20.3,15.7,26.2,73.0,6.9
2023-10-20,21.5,21.8,26.9,57.8,16.5
2023-10-21,26.5,25.8,26.3,60.3,5.0
2023-10-22,15.3,13.5,24.5,60.0,11.2
2023-10-23,23.3,19.5,27.9,67.8,12.8
2023-10-24,16.4,18.4,27.3,61.6,5.8
2023-10-25,8.0,12.0,27.3,69.1,19.6
2023-10-26,18.3,22.4,24.7,59.3,8.4
2023-10-27,20.6,19.2,28.1,63.8,9.6
2023-10-28,23.3,27.5,23.8,58.0,9.6
2023-10-29,22.0,28.3,26.7,72.7,8.5
2023-10-30,21.8,23.6,29.1,55.8,5.0
2023-10-31,9.4,10.8,24.3,63.1,15.9
2023-11-01,5.0,9.3,24.8,64.5,19.5
2023-11-02,9.5,9.2,25.8,63.2,8.4
2023-11-03,19.5,20.0,24.8,60.0,14.9
2023-11-04,5.0,10.3,23.2,60.1,16.1
2023-11-05,5.0,8.1,25.6,60.7,17.7
2023-11-06,18.1,24.0,23.8,59.6,11.3
2023-11-07,13.9,14.5,26.1,64.9,9.5
2023-11-08,16.2,17.2,23.9,71.0,9.9
2023-11-09,10.7,12.1,27.6,57.0,15.7
2023-11-10,14.1,14.1,24.0,52.7,17.3
2023-11-11,14.8,18.8,24.7,58.9,7.7
2023-11-12,12.6,21.3,26.3,72.1,10.6
2023-11-13,5.0,7.6,23.2,55.0,18.5
2023-11-14,6.8,8.1,25.4,67.0,17.1
2023-11-15,5.0,6.7,26.9,67.1,19.8
2023-11-16,5.0,6.2,22.5,55.7,16.3
2023-11-17,12.7,19.8,25.2,61.2,10.9
2023-11-18,9.5,10.1,25.2,66.3,13.9
2023-11-19,13.2,14.4,26.0,56.1,14.9
2023-11-20,19.4,16.9,22.9,56.8,6.2
2023-11-21,10.1,13.7,22.7,54.8,13.2
2023-11-22,5.0,7.9,25.5,52.5,15.6
2023-11-23,18.6,16.7,25.1,54.2,7.5
2023-11-24,6.6,7.3,25.0,51.2,16.7
2023-11-25,5.0,12.4,25.1,57.3,13.8
2023-11-26,5.0,9.0,23.5,53.2,19.3
2023-11-27,5.0,6.4,24.9,58.1,5.6
2023-11-28,10.1,12.3,24.9,49.0,9.0
2023-11-29,5.0,12.0,23.4,58.3,14.0
2023-11-30,5.0,5.0,27.2,60.7,9.4
2023-12-01,5.0,7.0,25.1,46.5,15.7
2023-12-02,5.0,7.8,22.6,58.2,16.4
2023-12-03,7.7,5.0,25.3,62.3,6.5
2023-12-04,5.0,5.0,22.8,50.1,12.7
2023-12-05,5.0,10.7,25.5,64.4,12.6
2023-12-06,5.0,9.4,26.0,58.0,10.5
2023-12-07,5.0,11.6,23.0,52.3,19.0
2023-12-08,5.0,6.7,25.6,55.5,17.4
2023-12-09,5.0,6.7,24.8,58.5,15.5
2023-12-10,5.0,5.0,25.4,56.0,15.7
2023-12-11,5.0,10.2,27.0,58.2,11.9
2023-12-12,5.0,12.1,23.8,50.9,18.8
2023-12-13,5.0,11.3,23.0,56.3,15.4
2023-12-14,5.0,13.0,22.8,48.3,15.9
2023-12-15,5.0,9.9,22.9,54.7,17.9
2023-12-16,5.0,11.5,23.9,50.7,9.1
2023-12-17,5.0,7.8,24.6,51.5,17.1
2023-12-18,5.0,5.0,24.5,61.3,7.9
2023-12-19,5.0,9.6,25.3,60.6,10.2
2023-12-20,7.4,5.0,24.0,58.1,10.0
2023-12-21,5.0,9.4,26.2,49.6,19.7
2023-12-22,5.0,11.4,23.6,53.5,17.8
2023-12-23,5.0,9.1,28.1,61.1,15.5
2023-12-24,5.0,15.0,24.9,55.7,15.9
2023-12-25,5.0,5.0,22.7,66.6,13.4
2023-12-26,5.0,8.6,22.4,57.0,19.2
2023-12-27,5.0,7.5,24.7,56.0,12.4
2023-12-28,5.0,5.0,23.7,53.5,10.7
2023-12-29,5.0,5.0,25.1,55.7,7.4
2023-12-30,5.0,5.8,24.7,54.3,16.8
2023-12-31,5.0,5.0,23.9,58.6,16.0
2024-01-01,6.0,7.8,22.7,59.9,10.8
2024-01-02,5.0,5.0,21.8,51.2,5.4
2024-01-03,5.0,9.5,23.4,48.5,17.6
2024-01-04,5.0,8.0,25.3,46.0,5.2
2024-01-05,5.0,9.9,24.4,57.7,15.6
2024-01-06,5.0,7.7,22.2,49.7,19.6
2024-01-07,5.0,8.2,24.3,44.5,11.6
2024-01-08,5.0,9.8,24.7,57.3,8.5
2024-01-09,5.0,9.5,22.8,67.9,15.6
2024-01-10,5.0,14.0,24.4,55.4,17.3
2024-01-11,5.0,10.6,24.2,59.7,13.2
2024-01-12,5.0,14.1,22.4,56.0,19.5
2024-01-13,5.8,5.0,24.7,55.2,5.8
2024-01-14,5.0,7.8,25.0,60.3,12.6
2024-01-15,5.0,7.2,25.8,54.4,15.8
2024-01-16,5.0,8.2,25.8,57.3,17.9
2024-01-17,5.0,5.0,22.2,57.6,7.7
2024-01-18,5.0,9.6,22.9,52.8,17.0
2024-01-19,5.0,5.0,25.1,61.2,13.3
2024-01-20,5.0,8.4,25.1,55.4,10.9
2024-01-21,5.0,5.0,25.2,52.6,7.0
2024-01-22,5.0,7.1,30.2,59.2,18.0
2024-01-23,5.0,7.8,25.3,52.2,7.4
2024-01-24,5.0,7.2,26.2,56.9,9.6
2024-01-25,5.0,10.0,25.9,56.8,9.4
2024-01-26,5.0,5.7,25.5,62.4,18.1
2024-01-27,5.0,7.8,24.1,59.5,15.1
2024-01-28,5.0,11.1,25.7,57.2,17.0
2024-01-29,5.0,7.8,23.5,61.5,8.8
2024-01-30,5.0,9.2,24.3,64.5,14.4
2024-01-31,5.0,11.0,24.0,60.5,13.6
2024-02-01,5.0,7.3,24.9,57.9,17.5
2024-02-02,5.0,6.9,28.3,51.5,18.6
2024-02-03,5.0,7.8,22.0,52.8,5.2
2024-02-04,5.0,7.6,25.9,56.8,15.1
2024-02-05,5.0,9.5,22.5,55.5,5.8
2024-02-06,5.0,8.8,24.3,57.7,13.2
2024-02-07,5.0,5.0,26.7,59.1,9.3
2024-02-08,5.0,7.9,25.2,61.7,9.6
2024-02-09,5.0,5.0,23.5,58.8,10.3
2024-02-10,5.0,10.7,24.1,61.8,14.3
2024-02-11,5.0,5.0,26.2,59.9,10.0
2024-02-12,5.0,11.9,24.2,49.9,16.0
2024-02-13,5.0,8.2,25.6,55.2,11.1
2024-02-14,7.9,8.6,25.4,59.4,6.0
2024-02-15,5.0,10.6,24.4,54.3,16.8
2024-02-16,5.0,8.4,28.7,63.5,9.3
2024-02-17,5.0,11.3,26.5,68.4,11.5
2024-02-18,5.0,12.0,22.5,67.0,15.3
2024-02-19,5.0,8.1,25.9,60.1,10.0
2024-02-20,11.0,9.5,24.7,68.8,5.8
2024-02-21,5.0,5.5,27.0,62.3,10.6
2024-02-22,5.0,8.6,24.6,60.1,19.2
2024-02-23,5.0,11.2,25.7,58.9,14.6
2024-02-24,5.0,6.6,26.7,60.7,15.1
2024-02-25,5.0,6.8,27.3,60.5,14.5
2024-02-26,6.3,13.5,24.2,63.5,8.0
2024-02-27,7.4,9.4,25.6,63.7,11.3
2024-02-28,5.0,6.3,25.4,63.1,16.3
2024-02-29,5.0,8.6,25.2,65.5,6.5
2024-03-01,7.4,9.1,28.9,69.5,9.2
2024-03-02,5.0,5.0,27.0,68.5,9.1
2024-03-03,5.0,10.4,24.5,56.6,11.5
2024-03-04,5.0,6.7,27.9,51.5,19.7
2024-03-05,18.7,20.0,29.7,69.2,6.0
2024-03-06,5.0,7.4,28.2,57.9,12.8
2024-03-07,5.0,7.2,24.4,63.9,7.7
2024-03-08,5.0,5.0,26.0,59.4,19.6
2024-03-09,13.8,14.2,28.7,56.5,6.7
2024-03-10,15.0,20.5,25.8,68.4,11.1
2024-03-11,5.0,12.0,27.6,69.8,16.1
2024-03-12,5.0,5.1,28.2,63.3,15.6
2024-03-13,15.7,20.7,25.7,53.5,11.3
2024-03-14,6.0,5.7,27.0,64.0,10.2
2024-03-15,5.0,6.1,22.3,68.9,11.0
2024-03-16,5.0,5.8,25.7,59.8,9.0
2024-03-17,12.6,14.5,27.0,68.4,8.1
2024-03-18,6.7,12.2,25.5,67.7,12.2
2024-03-19,9.9,12.5,29.9,70.9,9.0
2024-03-20,14.9,16.4,25.4,68.9,9.3
2024-03-21,5.0,10.9,26.9,63.7,14.9
2024-03-22,7.3,8.8,27.9,74.8,19.5
2024-03-23,5.0,7.6,29.9,68.2,14.1
2024-03-24,23.3,27.5,25.7,69.2,6.2
2024-03-25,16.3,19.2,29.6,64.9,6.1
2024-03-26,5.0,7.5,28.0,67.6,19.3
2024-03-27,5.0,5.0,26.5,65.6,9.5
2024-03-28,17.9,20.1,28.8,69.5,6.4
2024-03-29,5.4,5.0,28.5,79.1,14.0
2024-03-30,8.1,10.3,27.3,64.0,14.4
2024-03-31,12.9,19.4,28.4,63.0,14.7
2024-04-01,17.5,21.1,27.8,78.7,9.0
2024-04-02,22.8,17.8,28.6,70.6,5.2
2024-04-03,5.0,9.5,29.5,68.5,19.5
2024-04-04,21.2,22.0,30.9,77.3,8.8
2024-04-05,7.3,6.5,26.8,69.4,15.1
2024-04-06,5.0,9.1,31.9,81.8,15.6
2024-04-07,5.2,6.6,25.8,76.3,14.2
2024-04-08,16.7,17.2,28.6,70.7,9.7
2024-04-09,10.3,12.5,29.8,84.2,9.1
2024-04-10,12.7,13.6,29.4,70.6,14.0
2024-04-11,11.3,15.2,28.1,77.6,18.0
2024-04-12,8.4,10.4,28.8,75.6,19.2
2024-04-13,16.8,16.5,28.4,80.9,6.6
2024-04-14,12.7,17.1,28.4,82.4,7.3
2024-04-15,10.7,17.9,30.6,75.0,19.2
2024-04-16,5.0,5.0,29.9,71.4,16.0
2024-04-17,8.5,14.4,28.4,77.7,18.2
2024-04-18,16.5,22.3,30.8,72.2,8.0
2024-04-19,14.3,21.8,30.0,85.9,13.8
2024-04-20,14.5,19.1,30.8,76.8,15.5
2024-04-21,21.2,21.1,30.6,74.5,15.2
2024-04-22,27.8,31.9,28.5,77.5,11.1
2024-04-23,20.1,18.6,29.0,70.0,5.2
2024-04-24,29.1,30.8,31.0,72.2,13.7
2024-04-25,18.5,21.4,30.8,83.2,8.8
2024-04-26,22.2,22.2,30.0,74.2,11.8
2024-04-27,18.4,18.9,30.2,72.5,19.4
2024-04-28,34.4,38.0,32.0,80.6,11.0
2024-04-29,14.3,23.4,29.3,84.1,17.6
2024-04-30,16.5,21.7,31.0,81.9,7.8
2024-05-01,27.3,32.5,30.0,83.5,15.1
2024-05-02,13.3,20.2,30.0,75.0,19.7
2024-05-03,26.9,30.2,32.0,71.9,6.5
2024-05-04,23.2,25.6,31.7,86.7,5.1
2024-05-05,23.2,28.2,31.7,77.8,11.5
2024-05-06,25.2,22.4,32.5,78.3,6.4
2024-05-07,24.6,28.4,30.6,86.4,16.2
2024-05-08,20.4,23.9,31.7,82.8,18.7
2024-05-09,22.8,25.3,30.2,82.4,11.5
2024-05-10,32.8,33.2,31.2,91.2,8.9
2024-05-11,28.7,32.6,30.6,77.3,11.5
2024-05-12,14.4,15.1,31.0,85.4,15.9
2024-05-13,37.6,37.0,31.8,81.2,5.1
2024-05-14,27.2,28.0,29.7,82.4,13.8
2024-05-15,32.7,38.1,34.1,88.9,14.2
2024-05-16,26.9,29.8,29.5,84.0,14.6
2024-05-17,27.5,27.8,29.3,84.3,8.6
2024-05-18,24.8,26.9,32.9,87.1,15.7
2024-05-19,38.4,39.7,32.4,80.1,6.4
2024-05-20,29.8,36.3,32.2,77.9,8.0
2024-05-21,23.8,23.7,32.2,77.0,18.2
2024-05-22,27.4,32.6,31.3,72.5,16.1
2024-05-23,29.8,32.2,30.0,92.8,5.2
2024-05-24,30.8,29.9,31.5,77.1,8.7
2024-05-25,35.8,41.8,30.4,81.7,8.2
2024-05-26,40.6,44.1,32.9,81.5,9.1
2024-05-27,36.5,36.7,31.3,84.6,8.7
2024-05-28,37.0,32.6,30.3,87.2,5.9
2024-05-29,28.6,31.7,31.1,87.6,11.9
2024-05-30,36.0,39.1,32.2,80.5,16.0
2024-05-31,34.3,34.0,30.8,82.7,14.1
2024-06-01,27.9,27.8,30.4,85.0,15.1
2024-06-02,43.6,47.4,32.0,82.5,6.2
2024-06-03,30.8,28.8,32.1,91.9,19.3
2024-06-04,26.2,30.6,31.0,86.4,17.6
2024-06-05,30.3,33.1,31.0,87.7,17.1
2024-06-06,28.4,33.4,32.1,87.4,17.3
2024-06-07,42.8,45.7,29.6,90.1,19.0
2024-06-08,37.7,41.2,29.7,85.2,13.2
2024-06-09,41.1,40.5,30.8,77.9,8.0
2024-06-10,36.9,39.6,31.5,86.4,14.3
2024-06-11,40.7,45.4,32.3,81.2,16.1
2024-06-12,33.7,37.3,34.1,81.9,16.1
2024-06-13,33.4,37.1,33.2,87.6,12.8
2024-06-14,46.0,44.4,31.7,90.9,6.0
2024-06-15,38.1,38.4,31.9,84.8,10.6
2024-06-16,27.1,29.1,30.4,86.3,18.8
2024-06-17,29.7,31.6,31.9,93.3,13.8
2024-06-18,45.1,51.8,31.5,86.1,13.1
2024-06-19,40.4,41.2,32.5,97.9,9.0
2024-06-20,36.8,35.5,30.7,87.7,10.5
2024-06-21,33.7,39.0,32.8,76.1,18.4
2024-06-22,40.6,47.6,34.3,88.7,15.0
2024-06-23,34.0,33.5,31.8,86.9,16.8
2024-06-24,31.9,40.2,32.6,91.4,11.8
2024-06-25,39.2,43.3,33.0,88.4,14.5
2024-06-26,48.7,53.6,31.4,84.3,8.7
2024-06-27,43.6,51.1,32.3,78.9,15.6
2024-06-28,38.1,43.3,32.0,83.9,11.4
2024-06-29,47.5,49.5,32.1,80.7,11.6
2024-06-30,39.8,46.4,30.8,82.1,14.7
2024-07-01,41.0,45.6,32.0,87.9,19.0
2024-07-02,47.7,52.2,32.7,93.3,6.0
2024-07-03,28.9,36.0,34.1,86.9,17.4
2024-07-04,52.5,51.1,33.4,78.9,9.4
2024-07-05,41.5,46.2,35.2,87.0,11.7
2024-07-06,48.9,49.5,30.8,90.8,5.3
2024-07-07,37.0,39.3,33.2,81.7,9.5
2024-07-08,43.7,46.6,32.2,84.0,12.5
2024-07-09,52.0,53.4,35.2,84.7,5.8
2024-07-10,51.4,58.5,30.7,80.6,12.4
2024-07-11,42.9,42.6,30.6,87.7,18.9
2024-07-12,49.0,45.1,31.0,83.8,6.6
2024-07-13,30.3,27.8,28.6,86.5,16.5
2024-07-14,43.7,49.1,31.0,79.8,11.1
2024-07-15,36.9,37.6,30.6,82.0,14.8
2024-07-16,45.2,47.4,32.0,87.7,8.9
2024-07-17,39.8,40.9,32.3,82.2,7.4
2024-07-18,43.8,42.6,34.5,92.6,7.4
2024-07-19,44.4,48.1,33.1,81.8,6.1
2024-07-20,42.5,43.7,30.8,84.9,7.8
2024-07-21,36.5,38.8,30.3,88.3,15.0
2024-07-22,37.1,41.4,32.3,76.4,18.2
2024-07-23,40.1,45.7,29.6,74.6,17.2
2024-07-24,27.6,27.8,34.3,75.7,15.3
2024-07-25,33.7,37.7,33.3,89.5,6.7
2024-07-26,42.6,48.8,30.8,80.3,9.3
2024-07-27,41.5,39.1,28.9,95.7,9.6
2024-07-28,45.6,48.2,33.4,80.0,8.7
2024-07-29,37.4,39.1,31.2,83.6,12.7
2024-07-30,40.1,44.8,33.2,90.2,13.0
2024-07-31,42.6,41.0,28.9,92.4,10.4
2024-08-01,38.2,45.1,30.4,92.5,10.3
2024-08-02,41.6,40.2,31.2,88.1,17.4
2024-08-03,37.9,40.5,31.2,87.0,16.8
2024-08-04,45.6,48.8,30.5,84.7,9.6
2024-08-05,35.7,37.4,32.0,85.5,18.7
2024-08-06,46.0,47.3,29.4,78.7,19.3
2024-08-07,46.0,48.6,30.8,77.2,9.9
2024-08-08,39.7,42.0,31.1,81.1,10.3
2024-08-09,44.4,46.9,31.7,80.0,12.6
2024-08-10,26.9,33.3,31.9,78.5,19.1
2024-08-11,35.7,38.2,29.1,84.0,18.1
2024-08-12,45.7,48.0,28.5,85.1,6.5
2024-08-13,41.6,42.2,32.6,80.6,10.9
2024-08-14,36.5,36.6,31.2,87.4,13.3
2024-08-15,34.8,36.5,29.5,74.1,12.5
2024-08-16,39.0,39.1,32.9,78.6,7.9
2024-08-17,35.5,37.8,30.7,75.8,17.9
2024-08-18,32.0,38.6,32.2,69.8,15.2
2024-08-19,43.4,46.2,30.5,78.6,17.6
2024-08-20,20.9,22.5,33.4,78.2,17.9
2024-08-21,32.8,36.1,32.9,86.1,16.2
2024-08-22,38.9,41.6,29.9,81.5,11.6
2024-08-23,39.5,38.7,31.6,73.0,14.2
2024-08-24,36.1,36.7,31.1,87.2,7.4
2024-08-25,40.3,42.3,32.1,83.8,15.1
2024-08-26,33.6,34.7,28.5,80.4,7.7
2024-08-27,31.8,37.0,31.0,76.1,15.4
2024-08-28,43.4,45.5,31.5,72.2,8.4
2024-08-29,46.3,51.3,27.2,74.9,6.8
2024-08-30,32.5,34.0,28.0,82.0,7.5
2024-08-31,54.0,60.4,26.6,85.7,5.0
2024-09-01,27.6,29.4,29.2,83.8,15.8
2024-09-02,26.1,27.0,30.6,73.4,16.0
2024-09-03,37.8,42.0,31.7,70.0,12.7
2024-09-04,36.9,42.5,29.5,76.1,7.4
2024-09-05,37.8,34.9,31.8,66.3,6.3
2024-09-06,42.7,43.1,27.2,76.5,5.3
2024-09-07,30.2,29.9,26.7,73.9,7.5
2024-09-08,20.5,24.6,29.1,72.1,18.4
2024-09-09,34.1,35.8,29.7,66.2,8.6
2024-09-10,39.7,45.8,29.0,76.5,10.3
2024-09-11,34.8,35.7,25.9,71.0,6.6
2024-09-12,44.1,49.9,28.8,67.5,8.3
2024-09-13,39.1,40.7,26.9,58.8,12.8
2024-09-14,31.7,37.3,29.8,72.7,14.1
2024-09-15,35.1,37.5,29.3,81.5,8.7
2024-09-16,36.8,43.1,27.2,80.7,5.9
2024-09-17,32.9,30.6,27.8,69.8,10.9
2024-09-18,31.8,30.1,26.9,68.9,8.5
2024-09-19,31.7,38.9,28.3,74.0,8.3
2024-09-20,19.1,20.8,29.8,66.4,19.4
2024-09-21,16.5,17.4,26.8,72.6,14.2
2024-09-22,33.2,33.3,29.0,74.7,13.4
2024-09-23,29.6,35.3,27.4,76.7,11.2
2024-09-24,29.0,27.5,26.9,69.8,11.4
2024-09-25,29.3,32.0,27.9,69.0,13.1
2024-09-26,21.2,23.5,26.4,65.4,15.4
2024-09-27,19.9,26.1,27.0,65.4,15.5
2024-09-28,29.2,29.0,26.0,68.2,7.6
2024-09-29,32.8,36.6,30.7,70.9,12.5
2024-09-30,20.5,19.2,27.7,73.3,11.2
2024-10-01,8.2,18.6,26.6,64.5,18.1
2024-10-02,20.1,22.2,27.9,75.7,14.5
2024-10-03,30.1,32.7,27.3,66.6,13.0
2024-10-04,20.2,26.5,27.1,67.6,6.7
2024-10-05,17.0,18.1,28.3,63.8,14.1
2024-10-06,30.6,36.9,28.4,55.1,6.8
2024-10-07,37.4,38.2,26.4,71.4,10.1
2024-10-08,19.8,23.2,26.3,70.4,7.1
2024-10-09,13.1,14.4,26.6,65.1,15.4
2024-10-10,27.0,24.6,23.5,66.6,8.1
2024-10-11,28.5,31.9,24.7,68.6,10.9
2024-10-12,13.9,19.6,28.9,57.9,18.4
2024-10-13,16.3,14.0,29.3,62.8,8.1
2024-10-14,21.9,23.5,26.4,69.2,12.6
2024-10-15,24.5,30.3,27.5,58.7,11.3
2024-10-16,33.9,36.8,27.1,66.2,5.3
2024-10-17,19.5,21.6,31.2,57.7,16.9
2024-10-18,27.7,27.1,28.2,66.6,6.0
2024-10-19,17.2,25.5,26.2,63.9,12.1
2024-10-20,30.1,28.4,24.9,55.7,13.4
2024-10-21,13.3,16.0,23.9,69.4,14.4
2024-10-22,12.0,10.7,26.5,59.7,15.3
2024-10-23,29.0,34.7,25.0,59.1,8.8
2024-10-24,14.6,15.6,24.0,63.9,5.1
2024-10-25,5.0,8.7,25.1,68.4,15.9
2024-10-26,16.0,26.9,24.4,57.3,13.0
2024-10-27,10.9,12.6,28.5,62.5,17.5
2024-10-28,9.3,18.0,27.2,64.1,17.3
2024-10-29,14.6,17.0,25.8,65.2,17.6
2024-10-30,9.3,11.0,28.0,62.4,12.3
2024-10-31,15.8,25.8,25.8,59.5,10.0
2024-11-01,8.1,11.0,24.3,57.0,16.9
2024-11-02,8.6,6.9,27.9,61.4,11.8
2024-11-03,16.2,18.6,26.3,55.4,7.8
2024-11-04,13.2,16.3,23.9,45.9,17.8
2024-11-05,17.2,21.9,25.1,62.5,18.2
2024-11-06,13.8,15.8,24.1,64.6,12.0
2024-11-07,5.0,12.9,23.2,48.1,6.1
2024-11-08,11.9,15.7,26.7,54.7,10.8
2024-11-09,6.1,6.3,28.1,62.7,17.1
2024-11-10,8.3,12.4,23.1,69.7,18.5
2024-11-11,13.5,12.8,26.0,59.3,8.1
2024-11-12,20.5,21.0,24.1,55.4,6.0
2024-11-13,5.8,6.7,24.3,57.9,18.2
2024-11-14,16.4,24.9,24.1,65.5,10.8
2024-11-15,5.2,5.8,23.6,55.3,13.1
2024-11-16,5.0,11.0,25.0,54.3,19.5
2024-11-17,16.4,16.7,23.6,55.8,6.0
2024-11-18,5.0,5.0,25.2,53.3,14.7
2024-11-19,7.3,9.1,24.7,58.5,6.1
2024-11-20,5.0,8.3,24.4,65.8,10.6
2024-11-21,5.0,10.1,23.3,59.2,17.1
2024-11-22,8.6,5.0,23.8,56.2,11.5
2024-11-23,5.0,5.3,25.7,55.8,20.0
